,fold_number,train_nmse,test_nmse,test_mae,best_feature_set,best_hyperparams,test_set,nll,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,fold_number,train_nmse,test_nmse,test_mae,best_feature_set,best_hyperparams,test_set,nll,,,,,,,,,
,0,-2056.227031,-22959.81266,27.19647555,"['FFMC', 'DMC', 'DC', 'ISI']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': None}","[0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 4.70000e-01 1.46000e+00 1.56000e+00 4.69000e+00
 6.96000e+00 1.00200e+01 1.39900e+01 1.92300e+01 2.34100e+01 3.68500e+01
 4.85500e+01 1.09084e+03 2.87000e+00 7.50000e-01 6.80000e-01 2.47700e+01
 0.00000e+00 0.00000e+00 0.00000e+00 3.78000e+00 2.18000e+00 4.42000e+00
 0.00000e+00 1.56400e+01 0.00000e+00 1.72000e+00 5.86000e+00 8.16000e+00
 0.00000e+00 0.00000e+00 1.23000e+00 6.11300e+01 7.36000e+00 0.00000e+00
 0.00000e+00 1.95000e+00 0.00000e+00 6.44000e+00]","[ 2.03105404e+01  2.03105404e+01  2.03105404e+01  2.03105404e+01
  2.03105404e+01  2.03105404e+01  2.03105404e+01  2.03105404e+01
  2.03105404e+01  2.03105404e+01  2.03105404e+01  2.03105404e+01
  2.03105404e+01  2.03105404e+01  1.21531739e+01  1.70167802e+00
  1.15357033e+00  3.10783036e+01  1.09864835e+02  2.92023108e+02
  6.58321720e+02  1.36654146e+03  2.11486247e+03  5.62375401e+03
  1.00481322e+04  5.52005984e+06  2.57506678e+00  8.27140927e+00
  9.17339443e+00  2.39342207e+03  2.03105404e+01  2.03105404e+01
  2.03105404e+01  1.29703300e+01 -1.65869920e-01  2.49009008e+01
  2.03105404e+01  8.53744865e+02  2.03105404e+01  4.70323891e-01
  6.56929461e+01  1.70905315e+02  2.03105404e+01  2.03105404e+01
  3.31578222e+00  1.62276902e+04  1.28721463e+02  2.03105404e+01
  2.03105404e+01 -9.41215094e-02  2.03105404e+01  8.75790659e+01]",,,,,,,,,
,1,-4486.312551,-1235.384531,12.43504256,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'temp', 'RH', 'wind', 'rain', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': None}","[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     0.     0.     0.     0.     0.     0.     1.07   2.51
   2.74   4.61  10.01  13.7   32.07  58.3   95.18 212.88   2.47   1.52
   5.38  10.73   0.     0.9    0.    34.36   0.     0.     0.52   0.
   0.     3.2    6.36   0.     9.71   0.     6.84  16.4   49.59   0.
   2.17  54.29]","[1.96178359e+01 1.96178359e+01 1.96178359e+01 1.96178359e+01
 1.96178359e+01 1.96178359e+01 1.96178359e+01 1.96178359e+01
 1.96178359e+01 1.96178359e+01 1.96178359e+01 1.96178359e+01
 1.96178359e+01 1.96178359e+01 1.96178359e+01 1.96178359e+01
 1.96178359e+01 1.96178359e+01 2.80514793e+00 3.06029202e+00
 5.53265366e+00 5.04945607e+01 4.28860436e+02 8.99754339e+02
 5.80946847e+03 2.02258917e+04 5.52303324e+04 2.82125199e+05
 2.69868729e+00 6.45680020e-02 8.18772684e+01 5.07204673e+02
 1.96178359e+01 4.50773050e+00 1.96178359e+01 6.72102507e+03
 1.96178359e+01 1.96178359e+01 9.63661284e+00 1.96178359e+01
 1.96178359e+01 1.24867309e+01 1.32675991e+02 1.96178359e+01
 3.98154188e+02 1.96178359e+01 1.61993531e+02 1.35353386e+03
 1.44726830e+04 1.96178359e+01 6.32379949e-01 1.74578558e+04]",,,,,,,,,
,2,-4604.171811,-179.3997996,5.784525013,"['temp', 'RH', 'wind', 'rain']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': None}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    1.46  3.07  5.33  6.38  8.71 24.23 31.72  0.
  0.79  0.    3.09 22.03 24.24  0.    0.    3.33 11.22  0.    3.93  2.03
  1.26  0.    3.64  3.63  1.63  7.02  6.3   6.43  0.    0.    0.   82.75
  6.61 14.68  5.8   0.  ]","[ 3.17665807e+01  3.17665807e+01  3.17665807e+01  3.17665807e+01
  3.17665807e+01  3.17665807e+01  3.17665807e+01  3.17665807e+01
  3.17665807e+01  3.17665807e+01  3.17665807e+01  3.17665807e+01
  3.17665807e+01  3.17665807e+01  3.17665807e+01  3.17665807e+01
  2.93914536e+00  5.43035687e+00  6.95870915e+01  1.23498947e+02
  2.97752194e+02  3.37981413e+03  6.06253435e+03  3.17665807e+01
  1.24971844e+01  3.17665807e+01  5.68740271e+00  2.73968439e+03
  3.38287708e+03  3.17665807e+01  3.17665807e+01  9.20473135e+00
  5.69722966e+02  3.17665807e+01  2.14935729e+01 -2.90270157e-01
  5.14034914e+00  3.17665807e+01  1.49304597e+01  1.47249521e+01
  1.50436858e+00  1.63861003e+02  1.18853178e+02  1.26447634e+02
  3.17665807e+01  3.17665807e+01  3.17665807e+01  4.50516127e+04
  1.37350038e+02  1.08789310e+03  9.18284324e+01  3.17665807e+01]",,,,,,,,,
,3,-4326.180351,-2687.344436,16.807853,"['FFMC', 'DMC', 'DC', 'ISI']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': None}","[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.5000e-01 7.7000e-01
 1.6300e+00 2.5300e+00 4.5300e+00 5.4400e+00 7.0400e+00 2.6000e+01
 6.4100e+01 1.5488e+02 1.7000e-01 9.2700e+00 1.1190e+01 0.0000e+00
 0.0000e+00 1.4290e+01 7.2100e+00 1.6400e+00 0.0000e+00 1.2640e+01
 0.0000e+00 0.0000e+00 7.7300e+00 1.2180e+01 3.0180e+01 7.8000e+00
 0.0000e+00 1.8576e+02 0.0000e+00 1.5340e+01 5.5500e+00 2.7853e+02
 0.0000e+00 2.0700e+00 2.7700e+00 0.0000e+00]","[ 2.03962542e+01  2.03962542e+01  2.03962542e+01  2.03962542e+01
  2.03962542e+01  2.03962542e+01  2.03962542e+01  2.03962542e+01
  2.03962542e+01  2.03962542e+01  2.03962542e+01  2.03962542e+01
  2.03962542e+01  2.03962542e+01  2.03962542e+01  2.03962542e+01
  1.03814687e+01  7.29618936e+00  2.83283059e-01  1.55272885e+00
  3.58948659e+01  6.59121154e+01  1.40515374e+02  3.14309806e+03
  2.09916881e+04  1.27103390e+05  1.69496947e+01  2.90910727e+02
  4.63702636e+02  2.03962542e+01  2.03962542e+01  8.27264069e+02
  1.50077265e+02  2.49019357e-01  2.03962542e+01  6.20753092e+02
  2.03962542e+01  2.03962542e+01  1.81275367e+02  5.68455235e+02
  4.33073040e+03  1.85699564e+02  2.03962542e+01  1.83616006e+05
  2.03962542e+01  9.74087465e+02  7.01503453e+01  4.15733039e+05
  2.03962542e+01 -1.96078316e-01  3.37817628e+00  2.03962542e+01]",,,,,,,,,
,4,-4596.979011,-241.2247039,6.460408146,"['temp', 'RH', 'wind', 'rain']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': None}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.43  0.9   1.19  1.43  1.64  1.95  2.14  9.41 10.93 11.32 71.3
  0.76  0.    3.3   4.25  9.27  8.    0.    1.01  0.   28.19  5.97  5.65
  0.   39.35 24.59 70.76  0.    4.62  0.    2.44  0.    3.35  2.14  0.
  1.29  2.    0.    0.  ]","[ 2.52791566e+01  2.52791566e+01  2.52791566e+01  2.52791566e+01
  2.52791566e+01  2.52791566e+01  2.52791566e+01  2.52791566e+01
  2.52791566e+01  2.52791566e+01  2.52791566e+01  2.52791566e+01
  2.52791566e+01  1.58599819e+01  8.02675975e+00  4.47637660e+00
  2.27852113e+00  9.05453448e-01 -1.83159645e-01 -2.97407915e-01
  3.11011932e+02  4.53869160e+02  4.94859154e+02  2.78756105e+04
  1.00911438e+01  2.52791566e+01  8.12028768e+00  2.66816770e+01
  2.99206760e+02  2.02540102e+02  2.52791566e+01  6.56481289e+00
  2.52791566e+01  3.96278756e+03  8.70185294e+01  7.31853963e+01
  2.52791566e+01  8.07772410e+03  2.94467723e+03  2.74422711e+04
  2.52791566e+01  3.67536781e+01  2.52791566e+01  3.77842523e-01
  2.52791566e+01  8.83527155e+00 -2.97407915e-01  2.52791566e+01
  3.47911373e+00 -2.53969857e-01  2.52791566e+01  2.52791566e+01]",,,,,,,,,
,5,-4515.690756,-987.6358185,12.31358927,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'temp', 'RH', 'wind', 'rain', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': None}","[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 7.1000e-01 9.5000e-01 9.6000e-01 2.0100e+00 5.2300e+00
 6.8300e+00 1.1240e+01 1.3050e+01 3.1860e+01 3.7020e+01 1.0566e+02
 0.0000e+00 9.0000e-02 0.0000e+00 6.5700e+00 0.0000e+00 3.5200e+00
 0.0000e+00 5.1800e+00 0.0000e+00 1.5800e+00 0.0000e+00 7.4800e+00
 0.0000e+00 0.0000e+00 1.0900e+00 3.9400e+00 2.0030e+01 1.1060e+01
 1.7463e+02 2.8740e+01 0.0000e+00 6.0400e+00 3.9500e+00 0.0000e+00
 0.0000e+00 0.0000e+00 6.4300e+00 0.0000e+00 0.0000e+00 7.0320e+01
 2.6430e+01 0.0000e+00 4.3320e+01 1.0820e+01]","[ 1.30030792e+01  1.30030792e+01  1.30030792e+01  1.30030792e+01
  1.30030792e+01  1.30030792e+01  1.30030792e+01  5.49890485e+00
  3.68132145e+00  3.61347301e+00 -5.68278945e-04  3.22775717e+01
  7.26375748e+01  2.67465268e+02  3.82933316e+02  2.80610093e+03
  3.86089299e+03  3.38674599e+04  1.30030792e+01  1.18758705e+01
  1.30030792e+01  6.49803324e+01  1.30030792e+01  6.99295935e+00
  1.30030792e+01  3.12765002e+01  1.30030792e+01  6.38696742e-01
  1.30030792e+01  9.36460822e+01  1.30030792e+01  1.30030792e+01
  2.78884022e+00  1.14945515e+01  1.02171041e+03  2.57111906e+02
  9.39497399e+04  2.24979057e+03  1.30030792e+01  5.06917838e+01
  1.16152931e+01  1.30030792e+01  1.30030792e+01  1.30030792e+01
  6.10338079e+01  1.30030792e+01  1.30030792e+01  1.47069553e+04
  1.87746449e+03  1.30030792e+01  5.37640986e+03  2.43625314e+02]",,,,,,,,,
,6,-4584.892538,-348.9593961,8.253530707,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'temp', 'RH', 'wind', 'rain', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': None}","[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     0.     0.     0.     0.     0.61   1.69   2.57   4.88
   7.19  11.06  15.45  35.88  37.71 103.39   0.    10.13  10.34   8.02
   0.     0.     1.1    0.     2.13   7.31  13.06   0.     0.    18.3
  16.33  42.87   9.96  51.78   0.     0.     0.     0.72   4.96   0.54
   0.     1.76]","[ 1.90838360e+01  1.90838360e+01  1.90838360e+01  1.90838360e+01
  1.90838360e+01  1.90838360e+01  1.90838360e+01  1.90838360e+01
  1.90838360e+01  1.90838360e+01  1.90838360e+01  1.90838360e+01
  1.90838360e+01  1.90838360e+01  1.90838360e+01  1.90838360e+01
  8.68503133e+00 -1.34388201e-02  2.07718354e+00  4.67775642e+01
  1.48268458e+02  4.45567258e+02  9.75772790e+02  6.14153216e+03
  6.82102015e+03  5.48034955e+04  1.90838360e+01  3.59573725e+02
  3.78187032e+02  1.98603385e+02  1.90838360e+01  1.90838360e+01
  3.20010089e+00  1.90838360e+01  1.65897271e-03  1.55092418e+02
  6.61682700e+02  1.90838360e+01  1.90838360e+01  1.42978441e+03
  1.10673374e+03  8.92888608e+03  3.44849570e+02  1.32357355e+04
  1.90838360e+01  1.90838360e+01  1.90838360e+01  7.23128798e+00
  4.93430715e+01  9.67718975e+00  1.90838360e+01 -1.48859867e-01]",,,,,,,,,
,7,-3306.402998,-11960.3966,27.15040656,"['FFMC', 'DMC', 'DC', 'ISI']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': None}","[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 3.6000e-01 1.6100e+00 1.9400e+00 2.6900e+00 1.1530e+01
 1.7200e+01 2.6130e+01 2.7350e+01 2.8660e+01 2.9480e+01 4.9370e+01
 8.8490e+01 2.0094e+02 8.8500e+00 0.0000e+00 9.7700e+00 0.0000e+00
 2.6400e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6040e+01
 0.0000e+00 0.0000e+00 7.4628e+02 0.0000e+00 0.0000e+00 0.0000e+00
 3.3000e-01 9.9600e+00 0.0000e+00 0.0000e+00 3.7100e+00 3.8480e+01
 2.2100e+00 2.7500e+00 8.5900e+00]","[1.12847514e+01 1.12847514e+01 1.12847514e+01 1.12847514e+01
 1.12847514e+01 1.12847514e+01 1.12847514e+01 1.12847514e+01
 1.12847514e+01 1.12847514e+01 1.12847514e+01 1.12847514e+01
 1.12847514e+01 7.67362315e+00 5.69081722e-01 1.01353006e-01
 1.22547336e+00 2.43383894e+02 6.20852789e+02 1.56739282e+03
 1.73014360e+03 1.91384977e+03 2.03355754e+03 6.04946131e+03
 2.01812828e+04 1.06824920e+05 1.25392734e+02 1.12847514e+01
 1.61525042e+02 1.12847514e+01 1.05602594e+00 1.12847514e+01
 1.12847514e+01 1.12847514e+01 1.12847514e+01 7.87452182e+03
 1.12847514e+01 1.12847514e+01 1.49561772e+06 1.12847514e+01
 1.12847514e+01 1.12847514e+01 7.94781879e+00 1.69556616e+02
 1.12847514e+01 1.12847514e+01 7.62916943e+00 3.58606461e+03
 1.56093907e-01 1.44663139e+00 1.16009843e+02]",,,,,,,,,
,8,-4603.233445,-92.09863689,4.491584907,"['X', 'Y', 'FFMC', 'DMC', 'DC', 'ISI', 'temp', 'RH', 'wind', 'rain', 'day_sin', 'day_cos', 'mnth_sin', 'mnth_cos']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': None}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    1.9   2.29  8.31 12.1  14.57 30.32  0.    0.    0.24  1.38  1.56
  6.54  4.4   8.98  0.    0.41  0.    0.    4.41  0.    1.47  5.83  3.71
  1.75  0.    0.    4.95  3.05  2.35  0.    0.    1.94 46.7   0.   40.54
  0.    0.    0.43]","[ 1.82863572e+01  1.82863572e+01  1.82863572e+01  1.82863572e+01
  1.82863572e+01  1.82863572e+01  1.82863572e+01  1.82863572e+01
  1.82863572e+01  1.82863572e+01  1.82863572e+01  1.82863572e+01
  1.82863572e+01  1.83653117e-01 -5.43929318e-02  1.46535364e+02
  3.83603827e+02  5.98315423e+02  3.08488263e+03  1.82863572e+01
  1.82863572e+01  1.44483120e+01  2.34371024e+00  1.35768257e+00
  7.41420954e+01  1.91988076e+01  1.80304452e+02  1.82863572e+01
  1.20011117e+01  1.82863572e+01  1.82863572e+01  1.93726088e+01
  1.82863572e+01  1.81915464e+00  5.19596230e+01  9.08735138e+00
  5.90626986e-01  1.82863572e+01  1.82863572e+01  2.99144032e+01
  2.88511834e+00  1.41238312e-02  1.82863572e+01  1.82863572e+01
  1.04721499e-01  7.72030746e+03  1.82863572e+01  5.73192035e+03
  1.82863572e+01  1.82863572e+01  1.17280032e+01]",,,,,,,,,
,9,-4514.474698,-915.0999163,8.853264603,"['FFMC', 'DMC', 'DC', 'ISI']","{'estimator__regressor__alpha': 1e-05, 'estimator__regressor__l1_ratio': 0.001, 'estimator__regressor__penalty': None}","[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     1.12   1.36   1.75   2.55   3.5    7.3    7.4    8.24
   8.68  28.66 196.48   0.21   0.68   0.52  17.85  86.45   0.     0.
   6.58   2.18   6.1    8.12   2.93   0.    16.     0.     0.     0.
   0.     3.32   1.94   5.39   3.18   0.    10.08   3.19   0.    11.16
   0.  ]","[ 1.21979292e+01  1.21979292e+01  1.21979292e+01  1.21979292e+01
  1.21979292e+01  1.21979292e+01  1.21979292e+01  1.21979292e+01
  1.21979292e+01  1.21979292e+01  1.21979292e+01  1.21979292e+01
  1.77336349e+00  7.34893941e-01 -5.27985527e-02  1.81790602e+00
  1.01278968e+01  1.09471891e+02  1.13514493e+02  1.50364082e+02
  1.71728840e+02  2.63605976e+03  1.38757343e+05  9.54346270e+00
  4.77297644e+00  6.21532302e+00  9.39722878e+02  2.62233297e+04
  1.21979292e+01  1.21979292e+01  8.25273611e+01  3.70037495e-01
  6.66738108e+01  1.44783434e+02  4.34865397e+00  1.21979292e+01
  7.35189556e+02  1.21979292e+01  1.21979292e+01  1.21979292e+01
  1.21979292e+01  8.04578119e+00 -3.29636761e-02  4.63180222e+01
  6.59042776e+00  1.21979292e+01  2.49141630e+02  6.68962062e+00
  1.21979292e+01  3.18669101e+02  1.21979292e+01]",,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,fold_number,train_nmse,test_nmse,test_mae,best_feature_set,best_hyperparams,test_set,nll,,,,,,,,,
,0,-2026.785809,-23024.51028,27.70651522,"['temp', 'RH', 'wind', 'rain']","{'Random Forest__regressor__max_depth': 16, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 4.70000e-01 1.46000e+00 1.56000e+00 4.69000e+00
 6.96000e+00 1.00200e+01 1.39900e+01 1.92300e+01 2.34100e+01 3.68500e+01
 4.85500e+01 1.09084e+03 2.87000e+00 7.50000e-01 6.80000e-01 2.47700e+01
 0.00000e+00 0.00000e+00 0.00000e+00 3.78000e+00 2.18000e+00 4.42000e+00
 0.00000e+00 1.56400e+01 0.00000e+00 1.72000e+00 5.86000e+00 8.16000e+00
 0.00000e+00 0.00000e+00 1.23000e+00 6.11300e+01 7.36000e+00 0.00000e+00
 0.00000e+00 1.95000e+00 0.00000e+00 6.44000e+00]","[2.53502158e+00 2.53502158e+00 2.53502158e+00 2.53502158e+00
 2.53502158e+00 2.53502158e+00 2.53502158e+00 2.53502158e+00
 2.53502158e+00 2.53502158e+00 2.53502158e+00 2.53502158e+00
 2.53502158e+00 2.53502158e+00 2.40645850e+00 2.20600296e+00
 2.19105995e+00 2.21539183e+00 2.82963431e+00 4.45144089e+00
 7.91388345e+00 1.48327892e+01 2.22684768e+01 5.77021883e+01
 1.02864176e+02 5.75931020e+04 2.08520472e+00 2.34008842e+00
 2.35596550e+00 2.50544424e+01 2.53502158e+00 2.53502158e+00
 2.53502158e+00 2.10999470e+00 2.12013953e+00 2.17570999e+00
 2.53502158e+00 9.80425017e+00 2.53502158e+00 2.16917580e+00
 2.46934556e+00 3.35700560e+00 2.53502158e+00 2.53502158e+00
 2.24406594e+00 1.66288825e+02 2.98985036e+00 2.53502158e+00
 2.53502158e+00 2.14208302e+00 2.53502158e+00 2.64463714e+00]",,,,,,,,,
,1,-4391.061699,-1167.98246,12.10460906,"['FFMC', 'DMC', 'DC', 'ISI']","{'Random Forest__regressor__max_depth': None, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   0.     0.     0.     0.     0.     0.     0.     0.     1.07   2.51
   2.74   4.61  10.01  13.7   32.07  58.3   95.18 212.88   2.47   1.52
   5.38  10.73   0.     0.9    0.    34.36   0.     0.     0.52   0.
   0.     3.2    6.36   0.     9.71   0.     6.84  16.4   49.59   0.
   2.17  54.29]","[2.45157553e+00 2.45157553e+00 2.45157553e+00 2.45157553e+00
 2.45157553e+00 2.45157553e+00 2.45157553e+00 2.45157553e+00
 2.45157553e+00 2.45157553e+00 2.45157553e+00 2.45157553e+00
 2.45157553e+00 2.45157553e+00 2.45157553e+00 2.45157553e+00
 2.45157553e+00 2.45157553e+00 2.22470094e+00 2.09296131e+00
 2.09036654e+00 2.25786992e+00 4.62699337e+00 7.85680361e+00
 4.33981911e+01 1.50330896e+02 4.12462302e+02 2.12283385e+03
 2.09393126e+00 2.16213650e+00 2.42447015e+00 5.15450040e+00
 2.45157553e+00 2.25339838e+00 2.45157553e+00 5.01009727e+01
 2.45157553e+00 2.45157553e+00 2.32758314e+00 2.45157553e+00
 2.45157553e+00 2.10042060e+00 2.71887222e+00 2.45157553e+00
 4.42189487e+00 2.45157553e+00 2.89672612e+00 1.10486804e+01
 1.07493749e+02 2.45157553e+00 2.10610459e+00 1.29703932e+02]",,,,,,,,,
,2,-4505.089499,-173.3098865,5.591111157,"['temp', 'RH', 'wind', 'rain']","{'Random Forest__regressor__max_depth': 16, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    1.46  3.07  5.33  6.38  8.71 24.23 31.72  0.
  0.79  0.    3.09 22.03 24.24  0.    0.    3.33 11.22  0.    3.93  2.03
  1.26  0.    3.64  3.63  1.63  7.02  6.3   6.43  0.    0.    0.   82.75
  6.61 14.68  5.8   0.  ]","[  2.57210752   2.57210752   2.57210752   2.57210752   2.57210752
   2.57210752   2.57210752   2.57210752   2.57210752   2.57210752
   2.57210752   2.57210752   2.57210752   2.57210752   2.57210752
   2.57210752   2.0712648    1.88029976   2.25162453   2.67821773
   4.20057635  34.59323699  61.86003476   2.57210752   2.26240931
   2.57210752   1.88031073  28.14274168  34.62417304   2.57210752
   2.57210752   1.88500414   6.72864605   2.57210752   1.93358239
   1.96031965   2.12145103   2.57210752   1.9035308    1.90271385
   2.03320478   3.01730638   2.64004247   2.70255244   2.57210752
   2.57210752   2.57210752 465.94151811   2.79318395  11.72361822
   2.42264745   2.57210752]",,,,,,,,,
,3,-4226.950039,-2668.613955,17.43527705,"['temp', 'RH', 'wind', 'rain']","{'Random Forest__regressor__max_depth': 16, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.5000e-01 7.7000e-01
 1.6300e+00 2.5300e+00 4.5300e+00 5.4400e+00 7.0400e+00 2.6000e+01
 6.4100e+01 1.5488e+02 1.7000e-01 9.2700e+00 1.1190e+01 0.0000e+00
 0.0000e+00 1.4290e+01 7.2100e+00 1.6400e+00 0.0000e+00 1.2640e+01
 0.0000e+00 0.0000e+00 7.7300e+00 1.2180e+01 3.0180e+01 7.8000e+00
 0.0000e+00 1.8576e+02 0.0000e+00 1.5340e+01 5.5500e+00 2.7853e+02
 0.0000e+00 2.0700e+00 2.7700e+00 0.0000e+00]","[2.60284943e+00 2.60284943e+00 2.60284943e+00 2.60284943e+00
 2.60284943e+00 2.60284943e+00 2.60284943e+00 2.60284943e+00
 2.60284943e+00 2.60284943e+00 2.60284943e+00 2.60284943e+00
 2.60284943e+00 2.60284943e+00 2.60284943e+00 2.60284943e+00
 2.45659315e+00 2.40562397e+00 2.24768514e+00 2.15284181e+00
 2.20000862e+00 2.33923223e+00 2.76261512e+00 2.51151427e+01
 1.66710967e+02 1.02438249e+03 2.55477014e+00 3.73252435e+00
 4.92194526e+00 2.60284943e+00 2.60284943e+00 7.53441662e+00
 2.82098077e+00 2.24623553e+00 2.60284943e+00 6.03751165e+00
 2.60284943e+00 2.60284943e+00 3.01546705e+00 5.66335589e+00
 3.43445054e+01 3.04348454e+00 2.60284943e+00 1.48320066e+03
 2.60284943e+00 8.61306679e+00 2.36105107e+00 3.37170997e+03
 2.60284943e+00 2.19231643e+00 2.13971743e+00 2.60284943e+00]",,,,,,,,,
,4,-4043.054159,-2860.648151,16.65695795,"['FFMC', 'DMC', 'DC', 'ISI']","{'Random Forest__regressor__max_depth': None, 'Random Forest__regressor__min_samples_split': 2, 'Random Forest__regressor__n_estimators': 500}","[ 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.43  0.9   1.19  1.43  1.64  1.95  2.14  9.41 10.93 11.32 71.3
  0.76  0.    3.3   4.25  9.27  8.    0.    1.01  0.   28.19  5.97  5.65
  0.   39.35 24.59 70.76  0.    4.62  0.    2.44  0.    3.35  2.14  0.
  1.29  2.    0.    0.  ]","[4.86786585 4.86786585 4.86786585 4.86786585 4.86786585 4.86786585
 4.86786585 4.86786585 4.86786585 4.86786585 4.86786585 4.86786585
 4.86786585 4.86571023 4.86343799 4.86207968 4.8609808  4.86003802
 4.85867828 4.85786372 4.83745381 4.83583665 4.83556947 5.5127022
 4.86410566 4.86786585 4.8532013  4.84978052 4.83764885 4.83977338
 4.86786585 4.86291884 4.86786585 4.88176705 4.84449802 4.84539195
 4.86786585 4.97437488 4.86243307 5.50023942 4.86786585 4.84854509
 4.86786585 4.85660675 4.86786585 4.85301233 4.85786372 4.86786585
 4.86161904 4.85846253 4.86786585 4.86786585]",,,,,,,,,
